node,system_id,in_degree,out_degree,degree,betweenness,closeness,eigenvector,pagerank,downstream_count,upstream_count,is_articulation,importance_score,risk_label
Redis (session cache),main_system_01,2,0,2,0.0,0.036885245901639344,0.0,0.009512448974261647,0,6,False,0.047058823529411764,low
S3 (raw uploads),main_system_01,1,1,2,0.002185792349726776,0.02459016393442623,0.0,0.009711108423766383,7,3,False,0.12708210889265784,medium
S3 (encoded assets),main_system_01,5,1,6,0.0022950819672131148,0.10440034512510786,0.0,0.0208421893751532,1,11,False,0.17539699865101624,medium
S3 (thumbnails),main_system_01,3,0,3,0.0,0.07084309133489461,0.0,0.017362310194260745,0,11,False,0.07058823529411766,low
S3 (analytics raw),main_system_01,1,1,2,0.0035519125683060107,0.050372578241430696,0.0,0.009597268904613005,15,13,False,0.20552803479370624,medium
S3 (analytics curated),main_system_01,1,1,2,0.0035519125683060107,0.050372578241430696,0.0,0.009597268904613005,15,13,False,0.20552803479370624,medium
S3 (feature store),main_system_01,1,0,1,0.0,0.06164617486338798,0.0,0.008431058750217747,0,19,False,0.023529411764705882,low
S3 (logs archive),main_system_01,1,1,2,0.006420765027322404,0.19686511360368134,0.0,0.05199144212286101,1,37,False,0.12869585173492748,medium
MediaConvert (transcoder),main_system_01,1,4,5,0.003005464480874317,0.026229508196721315,0.0,0.015038239118036405,6,4,False,0.19924770364897315,medium
ECS Service (encoding orchestrator),main_system_01,0,4,4,0.0,0.0,0.0,0.006783802979897058,11,0,False,0.18039215686274512,medium
EC2 Auto Scaling Group (encoding workers),main_system_01,1,4,5,0.0035519125683060107,0.02185792349726776,0.0,0.013775356624182944,9,2,False,0.22905744655841215,medium
SQS (encoding jobs queue),main_system_01,1,1,2,0.001366120218579235,0.01639344262295082,0.0,0.008225348789122938,10,1,False,0.1411910239402641,medium
SNS (user notifications),main_system_01,3,2,5,0.0049180327868852455,0.06323185011709602,0.0,0.02788654478459792,6,9,False,0.22122886265553895,medium
SQS (email jobs queue),main_system_01,1,1,2,0.000819672131147541,0.04742388758782202,0.0,0.018633495959146595,6,9,False,0.10353814377592316,low
SQS (webhook events queue),main_system_01,1,1,2,0.000819672131147541,0.04742388758782202,0.0,0.018633495959146595,6,9,False,0.10353814377592316,low
Kinesis (clickstream stream),main_system_01,1,1,2,0.014207650273224043,0.027322404371584695,0.0,0.008710744970214082,19,5,False,0.35936704113560924,high
Kinesis (playback events stream),main_system_01,2,1,3,0.012399403874813711,0.04553734061930783,0.0,0.010341371462095853,19,5,False,0.3621142662031984,high
MSK / Kafka Cluster (event bus),main_system_01,2,2,4,0.03398410332836562,0.06612021857923497,0.0,0.022978148153599318,18,11,False,0.6258736209299592,high
Lambda (event enricher),main_system_01,1,5,6,0.034803775459513166,0.05620608899297423,0.0,0.01654971432907429,17,12,False,0.6745098039215687,high
Glue Data Catalog,main_system_01,2,2,4,0.011202185792349727,0.052693208430913345,0.0,0.023099173456713577,14,15,True,0.5326683570944792,high
Athena (ad hoc queries),main_system_01,1,0,1,0.0,0.04879908501715593,0.0,0.016601232427255676,0,16,False,0.023529411764705882,low
Redshift (analytics warehouse),main_system_01,3,2,5,0.025546448087431693,0.0776672937382424,0.0,0.027213470864090386,12,17,False,0.5053701868986247,high
SageMaker Endpoint (reco model),main_system_01,1,3,4,0.0,0.06164617486338798,0.0,0.008431058750217747,5,19,False,0.13333333333333333,medium
CloudWatch,main_system_01,16,1,17,0.015983606557377048,0.27592080051096446,0.0,0.05318950147708823,2,36,False,0.5993859604932468,high
AWS X-Ray,main_system_01,3,0,3,0.0,0.08966716343765525,0.0,0.011176594538844148,0,19,False,0.07058823529411766,low
Datadog Agent (metrics sidecar),main_system_01,3,0,3,0.0,0.08966716343765525,0.0,0.011176594538844148,0,19,False,0.07058823529411766,low
IAM,main_system_01,7,0,7,0.0,0.11491172761664566,0.0,0.018676880842406787,0,27,False,0.16470588235294117,medium
KMS (encryption keys),main_system_01,5,0,5,0.0,0.22509010580165098,0.0,0.08329999459269162,0,44,False,0.11764705882352942,low
Cognito (user pool),main_system_01,1,1,2,0.0004098360655737705,0.027322404371584695,0.0,0.007875261377642894,3,5,False,0.07529848365266746,low
VPC (main),main_system_01,17,0,17,0.0,0.360100027785496,0.0,0.08646297684957704,0,36,False,0.4,high
NAT Gateway,main_system_01,0,0,0,0.0,0.0,0.0,0.006783802979897058,0,0,False,0.0,low
Internet Gateway,main_system_01,0,0,0,0.0,0.0,0.0,0.006783802979897058,0,0,False,0.0,low
